prob,parents_age,child_age,gender
0,1,0,female
0,2,0,female
0,3,0,female
0,4,0,female
0,5,0,female
0,6,0,female
0,7,0,female
0,8,0,female
0,9,0,female
0,10,0,female
0,11,0,female
0,12,0,female
0,13,0,female
0,14,0,female
0.00611948111850762,15,0,female
0.00611948111850762,16,0,female
0.00611948111850762,17,0,female
0.00611948111850762,18,0,female
0.00611948111850762,19,0,female
0.0430722092830342,20,0,female
0.0430722092830342,21,0,female
0.0430722092830342,22,0,female
0.0430722092830342,23,0,female
0.0430722092830342,24,0,female
0.111869930677031,25,0,female
0.111869930677031,26,0,female
0.111869930677031,27,0,female
0.111869930677031,28,0,female
0.111869930677031,29,0,female
0.12018103880021,30,0,female
0.12018103880021,31,0,female
0.12018103880021,32,0,female
0.12018103880021,33,0,female
0.12018103880021,34,0,female
0.0628511225901502,35,0,female
0.0628511225901502,36,0,female
0.0628511225901502,37,0,female
0.0628511225901502,38,0,female
0.0628511225901502,39,0,female
0.0142207152078745,40,0,female
0.0142207152078745,41,0,female
0.0142207152078745,42,0,female
0.0142207152078745,43,0,female
0.0142207152078745,44,0,female
9.26007697498953e-4,45,0,female
9.26007697498953e-4,46,0,female
9.26007697498953e-4,47,0,female
9.26007697498953e-4,48,0,female
9.26007697498953e-4,49,0,female
0,50,0,female
0,51,0,female
0,52,0,female
0,53,0,female
0,54,0,female
0,55,0,female
0,56,0,female
0,57,0,female
0,58,0,female
0,59,0,female
0,60,0,female
0,61,0,female
0,62,0,female
0,63,0,female
0,64,0,female
0,65,0,female
0,66,0,female
0,67,0,female
0,68,0,female
0,69,0,female
0,70,0,female
0,71,0,female
0,72,0,female
0,73,0,female
0,74,0,female
0,75,0,female
0,76,0,female
0,77,0,female
0,78,0,female
0,79,0,female
0,80,0,female
0,81,0,female
0,82,0,female
0,83,0,female
0,84,0,female
0,85,0,female
0,86,0,female
0,87,0,female
0,88,0,female
0,89,0,female
0,90,0,female
0,91,0,female
0,92,0,female
0,93,0,female
0,94,0,female
0,95,0,female
0,96,0,female
0,97,0,female
0,98,0,female
0,99,0,female
0,100,0,female
0,1,1,female
0,2,1,female
0,3,1,female
0,4,1,female
0,5,1,female
0,6,1,female
0,7,1,female
0,8,1,female
0,9,1,female
0,10,1,female
0,11,1,female
0,12,1,female
0,13,1,female
0,14,1,female
0,15,1,female
0.00611985990179371,16,1,female
0.00611985990179371,17,1,female
0.00611985990179371,18,1,female
0.00611985990179371,19,1,female
0.00611985990179371,20,1,female
0.0430748753641374,21,1,female
0.0430748753641374,22,1,female
0.0430748753641374,23,1,female
0.0430748753641374,24,1,female
0.0430748753641374,25,1,female
0.111876855195488,26,1,female
0.111876855195488,27,1,female
0.111876855195488,28,1,female
0.111876855195488,29,1,female
0.111876855195488,30,1,female
0.120188477759155,31,1,female
0.120188477759155,32,1,female
0.120188477759155,33,1,female
0.120188477759155,34,1,female
0.120188477759155,35,1,female
0.062855012945278,36,1,female
0.062855012945278,37,1,female
0.062855012945278,38,1,female
0.062855012945278,39,1,female
0.062855012945278,40,1,female
0.0142215954408767,41,1,female
0.0142215954408767,42,1,female
0.0142215954408767,43,1,female
0.0142215954408767,44,1,female
0.0142215954408767,45,1,female
9.26065015469514e-4,46,1,female
9.26065015469514e-4,47,1,female
9.26065015469514e-4,48,1,female
9.26065015469514e-4,49,1,female
9.26065015469514e-4,50,1,female
0,51,1,female
0,52,1,female
0,53,1,female
0,54,1,female
0,55,1,female
0,56,1,female
0,57,1,female
0,58,1,female
0,59,1,female
0,60,1,female
0,61,1,female
0,62,1,female
0,63,1,female
0,64,1,female
0,65,1,female
0,66,1,female
0,67,1,female
0,68,1,female
0,69,1,female
0,70,1,female
0,71,1,female
0,72,1,female
0,73,1,female
0,74,1,female
0,75,1,female
0,76,1,female
0,77,1,female
0,78,1,female
0,79,1,female
0,80,1,female
0,81,1,female
0,82,1,female
0,83,1,female
0,84,1,female
0,85,1,female
0,86,1,female
0,87,1,female
0,88,1,female
0,89,1,female
0,90,1,female
0,91,1,female
0,92,1,female
0,93,1,female
0,94,1,female
0,95,1,female
0,96,1,female
0,97,1,female
0,98,1,female
0,99,1,female
0,100,1,female
0,1,2,female
0,2,2,female
0,3,2,female
0,4,2,female
0,5,2,female
0,6,2,female
0,7,2,female
0,8,2,female
0,9,2,female
0,10,2,female
0,11,2,female
0,12,2,female
0,13,2,female
0,14,2,female
0,15,2,female
0,16,2,female
0.00606539668145147,17,2,female
0.00606539668145147,18,2,female
0.00606539668145147,19,2,female
0.00606539668145147,20,2,female
0.00606539668145147,21,2,female
0.0432199642698343,22,2,female
0.0432199642698343,23,2,female
0.0432199642698343,24,2,female
0.0432199642698343,25,2,female
0.0432199642698343,26,2,female
0.111884132247004,27,2,female
0.111884132247004,28,2,female
0.111884132247004,29,2,female
0.111884132247004,30,2,female
0.111884132247004,31,2,female
0.119691902624059,32,2,female
0.119691902624059,33,2,female
0.119691902624059,34,2,female
0.119691902624059,35,2,female
0.119691902624059,36,2,female
0.0628499395193742,37,2,female
0.0628499395193742,38,2,female
0.0628499395193742,39,2,female
0.0628499395193742,40,2,female
0.0628499395193742,41,2,female
0.0141997951412263,42,2,female
0.0141997951412263,43,2,female
0.0141997951412263,44,2,female
0.0141997951412263,45,2,female
0.0141997951412263,46,2,female
9.26467699592857e-4,47,2,female
9.26467699592857e-4,48,2,female
9.26467699592857e-4,49,2,female
9.26467699592857e-4,50,2,female
9.26467699592857e-4,51,2,female
0,52,2,female
0,53,2,female
0,54,2,female
0,55,2,female
0,56,2,female
0,57,2,female
0,58,2,female
0,59,2,female
0,60,2,female
0,61,2,female
0,62,2,female
0,63,2,female
0,64,2,female
0,65,2,female
0,66,2,female
0,67,2,female
0,68,2,female
0,69,2,female
0,70,2,female
0,71,2,female
0,72,2,female
0,73,2,female
0,74,2,female
0,75,2,female
0,76,2,female
0,77,2,female
0,78,2,female
0,79,2,female
0,80,2,female
0,81,2,female
0,82,2,female
0,83,2,female
0,84,2,female
0,85,2,female
0,86,2,female
0,87,2,female
0,88,2,female
0,89,2,female
0,90,2,female
0,91,2,female
0,92,2,female
0,93,2,female
0,94,2,female
0,95,2,female
0,96,2,female
0,97,2,female
0,98,2,female
0,99,2,female
0,100,2,female
0,1,3,female
0,2,3,female
0,3,3,female
0,4,3,female
0,5,3,female
0,6,3,female
0,7,3,female
0,8,3,female
0,9,3,female
0,10,3,female
0,11,3,female
0,12,3,female
0,13,3,female
0,14,3,female
0,15,3,female
0,16,3,female
0,17,3,female
0.00616322076625983,18,3,female
0.00616322076625983,19,3,female
0.00616322076625983,20,3,female
0.00616322076625983,21,3,female
0.00616322076625983,22,3,female
0.0443408377446585,23,3,female
0.0443408377446585,24,3,female
0.0443408377446585,25,3,female
0.0443408377446585,26,3,female
0.0443408377446585,27,3,female
0.11282869339303,28,3,female
0.11282869339303,29,3,female
0.11282869339303,30,3,female
0.11282869339303,31,3,female
0.11282869339303,32,3,female
0.119779297441567,33,3,female
0.119779297441567,34,3,female
0.119779297441567,35,3,female
0.119779297441567,36,3,female
0.119779297441567,37,3,female
0.0626303282158931,38,3,female
0.0626303282158931,39,3,female
0.0626303282158931,40,3,female
0.0626303282158931,41,3,female
0.0626303282158931,42,3,female
0.01401756238298,43,3,female
0.01401756238298,44,3,female
0.01401756238298,45,3,female
0.01401756238298,46,3,female
0.01401756238298,47,3,female
8.91531176803059e-4,48,3,female
8.91531176803059e-4,49,3,female
8.91531176803059e-4,50,3,female
8.91531176803059e-4,51,3,female
8.91531176803059e-4,52,3,female
0,53,3,female
0,54,3,female
0,55,3,female
0,56,3,female
0,57,3,female
0,58,3,female
0,59,3,female
0,60,3,female
0,61,3,female
0,62,3,female
0,63,3,female
0,64,3,female
0,65,3,female
0,66,3,female
0,67,3,female
0,68,3,female
0,69,3,female
0,70,3,female
0,71,3,female
0,72,3,female
0,73,3,female
0,74,3,female
0,75,3,female
0,76,3,female
0,77,3,female
0,78,3,female
0,79,3,female
0,80,3,female
0,81,3,female
0,82,3,female
0,83,3,female
0,84,3,female
0,85,3,female
0,86,3,female
0,87,3,female
0,88,3,female
0,89,3,female
0,90,3,female
0,91,3,female
0,92,3,female
0,93,3,female
0,94,3,female
0,95,3,female
0,96,3,female
0,97,3,female
0,98,3,female
0,99,3,female
0,100,3,female
0,1,4,female
0,2,4,female
0,3,4,female
0,4,4,female
0,5,4,female
0,6,4,female
0,7,4,female
0,8,4,female
0,9,4,female
0,10,4,female
0,11,4,female
0,12,4,female
0,13,4,female
0,14,4,female
0,15,4,female
0,16,4,female
0,17,4,female
0,18,4,female
0.00652268293676749,19,4,female
0.00652268293676749,20,4,female
0.00652268293676749,21,4,female
0.00652268293676749,22,4,female
0.00652268293676749,23,4,female
0.0462019346317761,24,4,female
0.0462019346317761,25,4,female
0.0462019346317761,26,4,female
0.0462019346317761,27,4,female
0.0462019346317761,28,4,female
0.115477312110692,29,4,female
0.115477312110692,30,4,female
0.115477312110692,31,4,female
0.115477312110692,32,4,female
0.115477312110692,33,4,female
0.120645609548069,34,4,female
0.120645609548069,35,4,female
0.120645609548069,36,4,female
0.120645609548069,37,4,female
0.120645609548069,38,4,female
0.0622175476260541,39,4,female
0.0622175476260541,40,4,female
0.0622175476260541,41,4,female
0.0622175476260541,42,4,female
0.0622175476260541,43,4,female
0.0136737624001656,44,4,female
0.0136737624001656,45,4,female
0.0136737624001656,46,4,female
0.0136737624001656,47,4,female
0.0136737624001656,48,4,female
8.24061962237706e-4,49,4,female
8.24061962237706e-4,50,4,female
